Crop,Variety,Region,Season,Yield_t_ha,Duration_days,Disease_Resistance,Special_Trait
watermelon,WatermelonVar1,Tamil Nadu,Rabi,25.13,103,Low,Pest resistant
papaya,PapayaVar2,Gujarat,Zaid,16.01,270,High,Stable yield
lentil,LentilVar3,Punjab,Zaid,7.59,309,Low,Pest resistant
maize,MaizeVar4,Uttar Pradesh,Rabi,12.7,277,High,Early maturity
maize,MaizeVar5,Andhra Pradesh,Rabi,33.5,259,High,High yield
jute,JuteVar6,Himachal Pradesh,All,3.29,339,Medium,High yield
jute,JuteVar7,Karnataka,Rabi,29.95,122,Low,High fruit quality
coffee,CoffeeVar8,Uttar Pradesh,All,14.26,303,High,High yield
coffee,CoffeeVar9,Telangana,Kharif,29.28,178,Low,Drought tolerant
watermelon,WatermelonVar10,Telangana,Zaid,33.9,330,High,Early maturity
jute,JuteVar11,Tamil Nadu,Kharif,11.88,337,Low,Heat tolerant
papaya,PapayaVar12,Uttar Pradesh,Rabi,11.38,252,High,High fruit quality
watermelon,WatermelonVar13,Tamil Nadu,Kharif,19.2,123,High,Export quality
blackgram,BlackgramVar14,Himachal Pradesh,Zaid,24.43,231,Low,Heat tolerant
grapes,GrapesVar15,Telangana,Zaid,23.84,294,Low,Early maturity
blackgram,BlackgramVar16,Punjab,Zaid,36.89,338,Medium,Early maturity
mango,MangoVar17,Tamil Nadu,Rabi,9.02,274,Medium,Drought tolerant
mango,MangoVar18,Telangana,Kharif,30.86,143,Medium,High yield
coffee,CoffeeVar19,Kerala,All,30.81,324,High,High productivity
lentil,LentilVar20,Telangana,Rabi,21.29,104,High,Heat tolerant
banana,BananaVar21,Telangana,All,3.9,69,Medium,High productivity
coffee,CoffeeVar22,Tamil Nadu,Rabi,10.51,341,High,Disease resistant
kidneybeans,KidneybeansVar23,Himachal Pradesh,Kharif,8.75,295,Low,High yield
muskmelon,MuskmelonVar24,Madhya Pradesh,Zaid,5.26,111,Low,Heat tolerant
rice,RiceVar25,Karnataka,Zaid,38.58,244,Low,Early maturity
grapes,GrapesVar26,Andhra Pradesh,Zaid,23.82,335,Medium,High fruit quality
maize,MaizeVar27,Uttar Pradesh,All,28.04,227,Medium,Pest resistant
chickpea,ChickpeaVar28,Kerala,All,11.02,239,Low,High yield
orange,OrangeVar29,Uttar Pradesh,Rabi,26.23,231,High,Heat tolerant
grapes,GrapesVar30,Himachal Pradesh,All,12.26,327,High,Export quality
papaya,PapayaVar31,Madhya Pradesh,All,13.8,256,Medium,Heat tolerant
cotton,CottonVar32,Kerala,Kharif,23.8,94,Medium,High fruit quality
lentil,LentilVar33,Telangana,All,31.2,98,Low,Disease resistant
mango,MangoVar34,Rajasthan,Rabi,4.85,241,Medium,Heat tolerant
coffee,CoffeeVar35,Andhra Pradesh,Rabi,27.64,150,Medium,Disease resistant
papaya,PapayaVar36,Andhra Pradesh,Rabi,10.09,173,Low,Early maturity
jute,JuteVar37,Kerala,Rabi,17.3,335,Low,Drought tolerant
